Year,Location,Date,Hour,LBank,RBank,Sky,Wind,Precip,Turbidity,Observer,
2022,Newhalen,4-Jul,1,0,0,,,,1,,
2022,Newhalen,4-Jul,2,0,0,,,,1,,
2022,Newhalen,4-Jul,3,0,0,,,,1,,
2022,Newhalen,4-Jul,4,0,0,3,0,0,1,CRH,
2022,Newhalen,4-Jul,5,0,0,3,0,0,1,CRH,
2022,Newhalen,4-Jul,6,0,0,3,0,0,1,CRH,
2022,Newhalen,4-Jul,7,0,0,3,0,1,1,CRH,
2022,Newhalen,4-Jul,8,1,0,3,0,1,1,CRH,
2022,Newhalen,4-Jul,9,0,0,3,0,1,1,CRH,
2022,Newhalen,4-Jul,10,0,0,3,0,0,1,CRH/CEW,
2022,Newhalen,4-Jul,11,0,0,3,1,0,1,CEW,
2022,Newhalen,4-Jul,12,0,0,3,0,0,1,CEW,
2022,Newhalen,4-Jul,13,0,0,3,1,1,1,CEW,
2022,Newhalen,4-Jul,14,0,0,3,0,1,1,CEW,
2022,Newhalen,4-Jul,15,0,0,3,0,1,1,CEW,
2022,Newhalen,4-Jul,16,0,0,3,1,2,1,CEW,
2022,Newhalen,4-Jul,17,0,0,3,0,1,1,CEW/JMK,
2022,Newhalen,4-Jul,18,2,12,3,0,0,1,JMK,
2022,Newhalen,4-Jul,19,0,0,3,0,0,1,JMK,
2022,Newhalen,4-Jul,20,0,0,3,0,0,1,JMK,
2022,Newhalen,4-Jul,21,0,0,3,0,0,1,JMK,
2022,Newhalen,4-Jul,22,0,0,3,0,0,1,JMK,
2022,Newhalen,4-Jul,23,0,1,3,0,0,1,JMK,
2022,Newhalen,5-Jul,0,,,,,,,,
2022,Newhalen,5-Jul,1,,,,,,,,
2022,Newhalen,5-Jul,2,,,,,,,,
2022,Newhalen,5-Jul,3,,,,,,,,
2022,Newhalen,5-Jul,4,0,0,3,0,0,1,CRH,
2022,Newhalen,5-Jul,5,1,0,3,0,0,1,CRH,
2022,Newhalen,5-Jul,6,0,0,3,0,0,1,CRH,
2022,Newhalen,5-Jul,7,0,0,3,0,0,1,CRH,
2022,Newhalen,5-Jul,8,2,0,3,0,0,1,CRH,
2022,Newhalen,5-Jul,9,8,0,3,0,0,1,CRH,
2022,Newhalen,5-Jul,10,0,2,3,0,0,1,CRH/CEW,
2022,Newhalen,5-Jul,11,0,0,3,0,0,1,CEW,
2022,Newhalen,5-Jul,12,2,0,3,0,0,1,CEW,
2022,Newhalen,5-Jul,13,12,0,3,0,0,1,CEW,
2022,Newhalen,5-Jul,14,0,0,3,0,0,1,CEW,
2022,Newhalen,5-Jul,15,0,0,3,0,0,1,CEW,
2022,Newhalen,5-Jul,16,0,0,3,0,0,1,CEW,
2022,Newhalen,5-Jul,17,0,0,3,0,0,1,CEW/JMK,
2022,Newhalen,5-Jul,18,0,0,3,0,0,1,JMK,
2022,Newhalen,5-Jul,19,23,6,2,1,0,1,JMK,
2022,Newhalen,5-Jul,20,14,15,1,1,0,1,JMK,
2022,Newhalen,5-Jul,21,16,0,1,1,0,1,JMK,
2022,Newhalen,5-Jul,22,0,0,1,0,0,1,JMK,
2022,Newhalen,5-Jul,23,0,0,1,0,0,1,JMK,
2022,Newhalen,6-Jul,0,,,,,,,,
2022,Newhalen,6-Jul,1,,,,,,,,
2022,Newhalen,6-Jul,2,,,,,,,,
2022,Newhalen,6-Jul,3,,,,,,,,
2022,Newhalen,6-Jul,4,0,0,3,0,0,1,CRH,
2022,Newhalen,6-Jul,5,0,0,3,0,0,1,CRH,
2022,Newhalen,6-Jul,6,0,0,3,0,0,1,CRH,
2022,Newhalen,6-Jul,7,0,0,3,0,0,1,CRH,
2022,Newhalen,6-Jul,8,0,0,3,0,0,1,CRH,
2022,Newhalen,6-Jul,9,0,0,3,0,0,1,CRH,
2022,Newhalen,6-Jul,10,0,0,3,0,0,1,CRH/CEW,
2022,Newhalen,6-Jul,11,0,0,3,1,0,1,CEW,
2022,Newhalen,6-Jul,12,0,0,3,1,0,1,CEW,
2022,Newhalen,6-Jul,13,26,0,3,1,0,1,CEW,
2022,Newhalen,6-Jul,14,0,8,3,1,0,1,CEW,
2022,Newhalen,6-Jul,15,0,0,3,2,0,1,CEW,
2022,Newhalen,6-Jul,16,21,0,3,1,0,1,CEW,
2022,Newhalen,6-Jul,17,0,0,3,1,1,1,CEW/JMK,
2022,Newhalen,6-Jul,18,0,0,3,1,1,1,JMK,
2022,Newhalen,6-Jul,19,12,3,3,1,1,1,JMK,
2022,Newhalen,6-Jul,20,0,0,3,0,2,1,JMK,
2022,Newhalen,6-Jul,21,11,0,3,0,2,1,JMK,
2022,Newhalen,6-Jul,22,0,0,3,0,1,1,JMK,
2022,Newhalen,6-Jul,23,0,0,3,0,1,1,JMK,
2022,Newhalen,7-Jul,0,,,,,,,,
2022,Newhalen,7-Jul,1,,,,,,,,
2022,Newhalen,7-Jul,2,,,,,,,,
2022,Newhalen,7-Jul,3,,,,,,,,
2022,Newhalen,7-Jul,4,0,0,3,1,3,1,CEW,
2022,Newhalen,7-Jul,5,0,0,3,0,2,1,CEW,
2022,Newhalen,7-Jul,6,0,0,3,0,0,1,CEW,
2022,Newhalen,7-Jul,7,0,0,3,1,2,1,CEW,
2022,Newhalen,7-Jul,8,0,0,3,1,3,1,CEW,
2022,Newhalen,7-Jul,9,0,0,3,1,2,1,CEW,
2022,Newhalen,7-Jul,10,1,0,3,1,2,1,CEW/JMK,
2022,Newhalen,7-Jul,11,0,0,3,1,1,1,JMK,
2022,Newhalen,7-Jul,12,0,0,3,1,2,2,JMK,
2022,Newhalen,7-Jul,13,0,0,3,1,2,2,JMK,
2022,Newhalen,7-Jul,14,9,0,3,1,1,2,JMK,
2022,Newhalen,7-Jul,15,0,7,3,1,0,2,JMK,
2022,Newhalen,7-Jul,16,35,1,3,1,0,2,JMK,
2022,Newhalen,7-Jul,17,0,0,3,1,1,2,JMK/CRH,
2022,Newhalen,7-Jul,18,-3,0,3,0,0,1,CRH,
2022,Newhalen,7-Jul,19,0,0,3,1,0,2,CRH,
2022,Newhalen,7-Jul,20,0,0,3,0,1,1,CRH,
2022,Newhalen,7-Jul,21,10,0,3,0,0,2,CRH,
2022,Newhalen,7-Jul,22,31,0,3,0,0,2,CRH,
2022,Newhalen,7-Jul,23,14,14,3,0,0,2,CRH,
2022,Newhalen,8-Jul,0,,,,,,,,
2022,Newhalen,8-Jul,1,,,,,,,,
2022,Newhalen,8-Jul,2,,,,,,,,
2022,Newhalen,8-Jul,3,,,,,,,,
2022,Newhalen,8-Jul,4,0,0,3,0,2,1,CEW,
2022,Newhalen,8-Jul,5,0,0,3,0,1,1,CEW,
2022,Newhalen,8-Jul,6,0,0,3,0,2,1,CEW,
2022,Newhalen,8-Jul,7,0,0,3,0,2,2,CEW,
2022,Newhalen,8-Jul,8,0,0,3,0,1,2,CEW,
2022,Newhalen,8-Jul,9,0,0,3,0,2,2,CEW,
2022,Newhalen,8-Jul,10,0,0,3,0,1,1,CEW/JMK,
2022,Newhalen,8-Jul,11,14,0,3,0,1,2,JMK,
2022,Newhalen,8-Jul,12,0,0,3,0,1,2,JMK,
2022,Newhalen,8-Jul,13,-1,16,3,0,1,2,JMK,
2022,Newhalen,8-Jul,14,0,0,3,0,2,2,JMK,
2022,Newhalen,8-Jul,15,0,0,3,0,3,2,JMK,
2022,Newhalen,8-Jul,16,100,0,3,0,1,2,JMK,
2022,Newhalen,8-Jul,17,75,22,3,0,1,2,JMK/CRH,
2022,Newhalen,8-Jul,18,65,0,3,0,0,2,CRH,
2022,Newhalen,8-Jul,19,0,13,3,1,0,2,CRH,
2022,Newhalen,8-Jul,20,41,30,3,0,0,2,CRH,
2022,Newhalen,8-Jul,21,69,7,3,0,0,2,CRH,
2022,Newhalen,8-Jul,22,0,1,2,0,0,2,CRH,
2022,Newhalen,8-Jul,23,0,0,2,0,0,2,CRH,
2022,Newhalen,9-Jul,0,,,,,,,,
2022,Newhalen,9-Jul,1,,,,,,,,
2022,Newhalen,9-Jul,2,,,,,,,,
2022,Newhalen,9-Jul,3,,,,,,,,
2022,Newhalen,9-Jul,4,,0,4,0,1,2,CEW,
2022,Newhalen,9-Jul,5,28,6,2,0,0,2,CEW,
2022,Newhalen,9-Jul,6,0,37,2,0,1,2,CEW,
2022,Newhalen,9-Jul,7,1,0,2,1,0,2,CEW,
2022,Newhalen,9-Jul,8,2,1,2,0,0,2,CEW,
2022,Newhalen,9-Jul,9,0,2,2,1,0,2,CEW,
2022,Newhalen,9-Jul,10,10,3,2,2,0,2,CEW/JMK,
2022,Newhalen,9-Jul,11,0,0,2,2,0,2,JMK,
2022,Newhalen,9-Jul,12,36,1,2,1,0,2,JMK,
2022,Newhalen,9-Jul,13,12,0,2,2,2,2,JMK,
2022,Newhalen,9-Jul,14,3,5,1,2,0,2,JMK,
2022,Newhalen,9-Jul,15,4,0,2,2,0,2,JMK,
2022,Newhalen,9-Jul,16,0,0,2,2,0,2,JMK,
2022,Newhalen,9-Jul,17,0,11,2,1,0,2,JMK/CRH,
2022,Newhalen,9-Jul,18,0,3,3,1,0,2,CRH,
2022,Newhalen,9-Jul,19,-1,17,3,1,0,2,CRH,
2022,Newhalen,9-Jul,20,41,0,2,0,0,2,CRH,
2022,Newhalen,9-Jul,21,46,0,3,1,0,2,CRH,
2022,Newhalen,9-Jul,22,0,0,3,0,0,2,CRH,
2022,Newhalen,9-Jul,23,0,0,3,1,0,2,CRH,
2022,Newhalen,10-Jul,0,,,,,,,,
2022,Newhalen,10-Jul,1,,,,,,,,
2022,Newhalen,10-Jul,2,,,,,,,,
2022,Newhalen,10-Jul,3,,,,,,,,
2022,Newhalen,10-Jul,4,10,2,2,0,1,2,JMK,
2022,Newhalen,10-Jul,5,32,5,2,0,0,2,JMK,
2022,Newhalen,10-Jul,6,7,2,1,0,0,2,JMK,
2022,Newhalen,10-Jul,7,101,1,1,0,0,2,JMK,
2022,Newhalen,10-Jul,8,-1,2,1,0,0,2,JMK,
2022,Newhalen,10-Jul,9,0,0,2,0,0,2,JMK/CRH,
2022,Newhalen,10-Jul,10,219,0,3,0,0,2,CRH,
2022,Newhalen,10-Jul,11,7,0,2,0,0,1,CRH,
2022,Newhalen,10-Jul,12,83,0,2,0,0,1,CRH,
2022,Newhalen,10-Jul,13,220,1,2,0,0,1,CRH,
2022,Newhalen,10-Jul,14,-3,1,2,0,0,1,CRH,
2022,Newhalen,10-Jul,15,34,144,3,0,0,1,CRH,
2022,Newhalen,10-Jul,16,18,24,3,0,2,1,CRH,
2022,Newhalen,10-Jul,17,16,0,3,0,0,1,SG,
2022,Newhalen,10-Jul,18,44,4,3,0,0,1,SG,
2022,Newhalen,10-Jul,19,9,18,3,0,2,1,SG,
2022,Newhalen,10-Jul,20,1,3,3,0,0,1,SG,
2022,Newhalen,10-Jul,21,4,9,3,0,0,1,SG,
2022,Newhalen,10-Jul,22,24,1,3,0,0,1,SG,
2022,Newhalen,10-Jul,23,25,1,3,1,0,1,SG,
2022,Newhalen,11-Jul,0,,,,,,,,
2022,Newhalen,11-Jul,1,,,,,,,,
2022,Newhalen,11-Jul,2,,,,,,,,
2022,Newhalen,11-Jul,3,,,,,,,,
2022,Newhalen,11-Jul,4,19,2,2,0,0,2,JMK,
2022,Newhalen,11-Jul,5,5,2,2,0,0,2,JMK,
2022,Newhalen,11-Jul,6,46,-1,2,0,0,2,JMK,
2022,Newhalen,11-Jul,7,10,0,2,0,0,2,JMK,
2022,Newhalen,11-Jul,8,38,0,2,0,0,2,JMK,
2022,Newhalen,11-Jul,9,172,4,2,0,0,2,JMK/CRH,
2022,Newhalen,11-Jul,10,60,0,3,0,0,2,CRH,
2022,Newhalen,11-Jul,11,61,0,3,0,0,2,CRH,
2022,Newhalen,11-Jul,12,21,0,3,0,0,2,CRH,
2022,Newhalen,11-Jul,13,224,0,3,0,0,2,CRH,
2022,Newhalen,11-Jul,14,44,0,3,0,0,2,CRH,
2022,Newhalen,11-Jul,15,208,0,3,0,0,2,CRH,
2022,Newhalen,11-Jul,16,82,1,3,0,0,2,CRH,
2022,Newhalen,11-Jul,17,125,8,3,0,0,2,SG,
2022,Newhalen,11-Jul,18,76,1,3,1,0,2,SG,
2022,Newhalen,11-Jul,19,128,3,3,1,0,1,SG,
2022,Newhalen,11-Jul,20,147,3,3,0,0,1,SG,
2022,Newhalen,11-Jul,21,62,0,3,1,0,1,SG,
2022,Newhalen,11-Jul,22,53,0,3,1,0,1,SG,
2022,Newhalen,11-Jul,23,67,1,3,0,0,1,SG,
2022,Newhalen,12-Jul,0,,,,,,,,
2022,Newhalen,12-Jul,1,,,,,,,,
2022,Newhalen,12-Jul,2,,,,,,,,
2022,Newhalen,12-Jul,3,,,,,,,,
2022,Newhalen,12-Jul,4,101,0,3,0,0,3,JMK,
2022,Newhalen,12-Jul,5,36,1,3,0,0,3,JMK,
2022,Newhalen,12-Jul,6,20,1,3,0,0,3,JMK,
2022,Newhalen,12-Jul,7,46,3,3,0,0,2,JMK,
2022,Newhalen,12-Jul,8,42,0,3,0,0,2,JMK,
2022,Newhalen,12-Jul,9,70,0,3,0,0,2,JMK/CRH,
2022,Newhalen,12-Jul,10,87,6,3,0,0,2,CRH,
2022,Newhalen,12-Jul,11,77,12,3,1,0,3,CRH,
2022,Newhalen,12-Jul,12,67,18,3,0,0,2,CRH,
2022,Newhalen,12-Jul,13,37,45,3,1,0,4,CRH,
2022,Newhalen,12-Jul,14,125,46,3,0,0,3,CRH,
2022,Newhalen,12-Jul,15,116,3,3,1,0,3,CRH,
2022,Newhalen,12-Jul,16,25,2,3,1,0,2,CRH,
2022,Newhalen,12-Jul,17,15,20,3,0,0,2,SG,
2022,Newhalen,12-Jul,18,12,12,3,0,0,2,SG,
2022,Newhalen,12-Jul,19,48,5,3,1,0,2,SG,
2022,Newhalen,12-Jul,20,6,3,3,0,0,1,SG,
2022,Newhalen,12-Jul,21,0,7,3,1,0,1,SG,
2022,Newhalen,12-Jul,22,2,4,3,1,0,1,SG,
2022,Newhalen,12-Jul,23,2,0,3,0,0,1,SG,
2022,Newhalen,13-Jul,0,,,,,,,,
2022,Newhalen,13-Jul,1,,,,,,,,
2022,Newhalen,13-Jul,2,,,,,,,,
2022,Newhalen,13-Jul,3,,,,,,,,
2022,Newhalen,13-Jul,4,,2,3,0,0,3,CRH,
2022,Newhalen,13-Jul,5,,0,3,0,0,2,CRH,
2022,Newhalen,13-Jul,6,127,3,3,0,0,2,CRH,
2022,Newhalen,13-Jul,7,112,5,3,0,0,2,CRH,
2022,Newhalen,13-Jul,8,118,1,3,0,0,2,CRH,
2022,Newhalen,13-Jul,9,276,0,3,0,0,2,CRH/SG,
2022,Newhalen,13-Jul,10,60,15,3,0,0,2,SG,
2022,Newhalen,13-Jul,11,82,23,3,0,0,1,SG,
2022,Newhalen,13-Jul,12,95,24,3,0,0,2,SG,
2022,Newhalen,13-Jul,13,235,3,3,0,0,2,SG,
2022,Newhalen,13-Jul,14,232,0,3,0,0,2,JMK,
2022,Newhalen,13-Jul,15,94,35,3,0,0,2,JMK,
2022,Newhalen,13-Jul,16,17,15,3,1,0,2,SG,
2022,Newhalen,13-Jul,17,18,41,3,0,0,2,SG,
2022,Newhalen,13-Jul,18,2,51,3,0,0,2,JMK,
2022,Newhalen,13-Jul,19,1,7,3,0,0,2,JMK/CS,
2022,Newhalen,13-Jul,20,3,44,3,0,0,2,CS/AC,
2022,Newhalen,13-Jul,21,21,0,3,0,0,2,AC,
2022,Newhalen,13-Jul,22,4,0,3,0,0,2,AC,
2022,Newhalen,13-Jul,23,112,2,3,0,0,2,AC/JMK,
2022,Newhalen,14-Jul,0,,,,,,,,
2022,Newhalen,14-Jul,1,,,,,,,,
2022,Newhalen,14-Jul,2,,,,,,,,
2022,Newhalen,14-Jul,3,,,,,,,,
2022,Newhalen,14-Jul,4,3,1,3,0,0,2,CRH,
2022,Newhalen,14-Jul,5,46,2,2,0,0,2,CRH,
2022,Newhalen,14-Jul,6,55,8,2,0,0,2,CRH,
2022,Newhalen,14-Jul,7,65,-1,2,0,0,2,CRH,
2022,Newhalen,14-Jul,8,71,0,3,0,0,2,CRH/SG,
2022,Newhalen,14-Jul,9,25,0,3,1,0,2,SG,
2022,Newhalen,14-Jul,10,54,0,3,0,0,2,SG,
2022,Newhalen,14-Jul,11,90,-1,3,1,0,2,SG,
2022,Newhalen,14-Jul,12,139,0,3,0,0,2,SG,
2022,Newhalen,14-Jul,13,100,7,3,0,1,2,SG/CS,
2022,Newhalen,14-Jul,14,387,0,3,0,0,2,CS ,
2022,Newhalen,14-Jul,15,131,0,3,2,0,2,CS ,
2022,Newhalen,14-Jul,16,85,-1,3,2,0,2,CS ,
2022,Newhalen,14-Jul,17,40,0,3,0,0,2,CS,
2022,Newhalen,14-Jul,18,60,0,3,1,0,2,CS/AC,
2022,Newhalen,14-Jul,19,130,0,3,1,0,2,AC,
2022,Newhalen,14-Jul,20,6,1,3,0,0,2,AC,
2022,Newhalen,14-Jul,21,25,1,3,1,0,2,AC,
2022,Newhalen,14-Jul,22,16,-1,3,0,0,2,AC,
2022,Newhalen,14-Jul,23,2,1,3,0,1,2,AC,
2022,Newhalen,15-Jul,0,,,,,,,,
2022,Newhalen,15-Jul,1,,,,,,,,
2022,Newhalen,15-Jul,2,,,,,,,,
2022,Newhalen,15-Jul,3,,,,,,,,
2022,Newhalen,15-Jul,4,4,1,3,0,1,3,CRH,
2022,Newhalen,15-Jul,5,6,23,3,0,1,3,CRH,
2022,Newhalen,15-Jul,6,63,12,3,0,0,2,CRH,
2022,Newhalen,15-Jul,7,34,0,3,0,0,2,CRH,
2022,Newhalen,15-Jul,8,53,6,3,0,2,2,CRH/SG,
2022,Newhalen,15-Jul,9,126,0,3,2,0,2,SG,
2022,Newhalen,15-Jul,10,134,3,3,1,0,2,SG,
2022,Newhalen,15-Jul,11,30,4,3,1,1,2,SG,
2022,Newhalen,15-Jul,12,104,2,3,0,0,2,SG,
2022,Newhalen,15-Jul,13,155,1,3,0,1,2,SG/AC,
2022,Newhalen,15-Jul,14,88,2,3,0,2,2,AC,
2022,Newhalen,15-Jul,15,125,2,3,0,2,2,AC,
2022,Newhalen,15-Jul,16,65,0,3,0,2,2,AC,
2022,Newhalen,15-Jul,17,53,0,3,0,3,2,AC,
2022,Newhalen,15-Jul,18,18,0,3,0,2,2,AC/CS,
2022,Newhalen,15-Jul,19,4,6,3,0,2,2,CS,
2022,Newhalen,15-Jul,20,40,1,3,0,2,2,CS,
2022,Newhalen,15-Jul,21,30,0,3,0,2,2,CS,
2022,Newhalen,15-Jul,22,25,1,3,0,2,2,CS,
2022,Newhalen,15-Jul,23,5,0,3,0,2,2,CS,
2022,Newhalen,16-Jul,0,,,,,,,,
2022,Newhalen,16-Jul,1,,,,,,,,
2022,Newhalen,16-Jul,2,,,,,,,,
2022,Newhalen,16-Jul,3,,,,,,,,
2022,Newhalen,16-Jul,4,0,1,3,0,1,2,SG,
2022,Newhalen,16-Jul,5,10,30,3,0,0,2,SG,
2022,Newhalen,16-Jul,6,0,21,3,0,0,2,SG,
2022,Newhalen,16-Jul,7,0,10,3,1,0,2,SG,
2022,Newhalen,16-Jul,8,4,4,3,0,3,2,SG/AC,
2022,Newhalen,16-Jul,9,4,16,3,0,3,2,AC,
2022,Newhalen,16-Jul,10,0,4,3,0,3,2,AC,
2022,Newhalen,16-Jul,11,0,3,3,0,1,2,AC,
2022,Newhalen,16-Jul,12,53,0,3,0,1,2,AC,
2022,Newhalen,16-Jul,13,28,16,3,0,1,2,AC/CS,
2022,Newhalen,16-Jul,14,4,10,3,0,0,2,CS,
2022,Newhalen,16-Jul,15,0,76,3,0,1,2,CS,
2022,Newhalen,16-Jul,16,17,105,3,1,1,2,CS,
2022,Newhalen,16-Jul,17,12,30,3,2,1,2,CS,
2022,Newhalen,16-Jul,18,37,24,3,2,1,1,CS/EPAK,
2022,Newhalen,16-Jul,19,-1,1,3,1,1,1,EPAK,
2022,Newhalen,16-Jul,20,-2,0,3,1,1,1,EPAK,
2022,Newhalen,16-Jul,21,26,1,3,2,1,1,EPAK,
2022,Newhalen,16-Jul,22,45,0,3,2,2,1,EPAK,
2022,Newhalen,16-Jul,23,43,0,3,2,3,1,EPAK,
2022,Newhalen,17-Jul,0,,,,,,,,
2022,Newhalen,17-Jul,1,,,,,,,,
2022,Newhalen,17-Jul,2,,,,,,,,
2022,Newhalen,17-Jul,3,,,,,,,,
2022,Newhalen,17-Jul,4,0,2,3,0,3,2,SG,
2022,Newhalen,17-Jul,5,0,0,3,0,3,2,SG,
2022,Newhalen,17-Jul,6,13,26,3,1,0,1,SG,
2022,Newhalen,17-Jul,7,59,2,3,1,0,1,SG,
2022,Newhalen,17-Jul,8,5,5,3,0,1,2,SG/AC,
2022,Newhalen,17-Jul,9,1,0,3,0,2,2,AC,
2022,Newhalen,17-Jul,10,2,3,3,0,2,2,AC,
2022,Newhalen,17-Jul,11,29,4,3,1,1,2,AC,
2022,Newhalen,17-Jul,12,29,1,3,0,1,2,AC,
2022,Newhalen,17-Jul,13,0,0,3,1,1,2,AC/CS,
2022,Newhalen,17-Jul,14,28,6,3,0,0,2,CS,
2022,Newhalen,17-Jul,15,78,0,3,1,2,2,CS,
2022,Newhalen,17-Jul,16,66,1,3,0,1,2,CS,
2022,Newhalen,17-Jul,17,37,1,3,0,0,2,CS,
2022,Newhalen,17-Jul,18,52,0,3,0,1,2,CS/EPAK,
2022,Newhalen,17-Jul,19,45,0,3,1,2,2,EPAK,
2022,Newhalen,17-Jul,20,26,1,3,3,1,2,EPAK,
2022,Newhalen,17-Jul,21,0,0,3,3,1,2,EPAK,
2022,Newhalen,17-Jul,22,92,-1,3,2,1,2,EPAK,
2022,Newhalen,17-Jul,23,64,0,3,2,1,2,EPAK,
2022,Newhalen,18-Jul,0,,,,,,,,
2022,Newhalen,18-Jul,1,,,,,,,,
2022,Newhalen,18-Jul,2,,,,,,,,
2022,Newhalen,18-Jul,3,,,,,,,,
2022,Newhalen,18-Jul,4,7,-1,3,0,0,2,AC,
2022,Newhalen,18-Jul,5,7,0,3,0,0,2,AC,
2022,Newhalen,18-Jul,6,50,0,3,0,0,2,AC,
2022,Newhalen,18-Jul,7,14,0,3,0,1,2,AC,
2022,Newhalen,18-Jul,8,0,0,3,0,0,2,AC/CS,
2022,Newhalen,18-Jul,9,21,64,3,0,0,2,CS,
2022,Newhalen,18-Jul,10,0,26,3,1,0,2,CS,
2022,Newhalen,18-Jul,11,3,2,3,1,1,2,CS,
2022,Newhalen,18-Jul,12,26,20,3,0,0,2,CS,
